slgppf,date,claims,corpequity,entitlement,finassets,mfshares,mortgages,otherassets,gdp,mfstockshare,slgtax,invassets,redirect,fr.mv,equity,equityshare,equityslgtax,equitygdpshare
State & local,1996-01-01,3155452,3148288,9021174,8905346,272343,65710,21381,32292488,0.6367335332077816,2838383,5865722,115828,65.02171446864898,3451139.9203079226,58.83572253011518,121.58823951200111,10.687129218126278
State & local,1997-01-01,2699990,3884834,9589798,9466545,343624,69095,21018,34310210,0.685312051929353,2999686,6889808,123253,71.84518380887688,4257980.557239624,61.80114971621305,141.94754241742714,12.410243356830588
State & local,1998-01-01,2383951,4519509,10268670,10138391,425290,83263,23296,36251268,0.7086227558255737,3179719,7884719,130279,76.78422814249556,4967666.247544771,63.00371956876042,156.22972493936638,13.703427553333503
State & local,1999-01-01,2183793,5168918,11054744,10907565,512175,96303,26466,38522649,0.7466607092465432,3361741,8870951,147179,80.24564838407836,5718279.071089268,64.46072209269636,170.09873964381157,14.843940433819252
State & local,2000-01-01,2248041,5587067,11901313,11713262,655682,92944,29894,41009383,0.7812620382983885,3572975,9653272,188051,81.11098330075009,6310732.503168456,65.37402554458691,176.62403188291148,15.388508778999324
State & local,2001-01-01,3980335,4837475,12826554,12650648,698270,84293,38955,42327286,0.7301346054783835,3657112,8846219,175906,68.96800964623858,5551654.484523801,62.75737108163161,151.80433316025872,13.116018079977538
State & local,2002-01-01,5134403,4586301,13721959,13548696,684769,85031,209706,43745672,0.6827775619864275,3695660,8587556,173263,62.582580227794004,5370291.4597578095,62.53573728960614,145.31346118846997,12.276166336541383
State & local,2003-01-01,5653333,4701857,14534386,14350989,840483,85592,310790,45832985,0.6713979567484222,3897252,8881053,183397,61.10373702748778,5658216.339859626,63.71109754507294,145.18476967513587,12.345293111194103
State & local,2004-01-01,5851763,5257232,15854661,15681049,1018634,61415,355565,48854919,0.7137556918995417,4241072,10002898,173612,63.09121336621452,6411686.358052658,64.09828789669412,151.180794809724,13.123932020136312
State & local,2005-01-01,6262732,6000507,17067217,16879952,1023094,44442,387354,52146548,0.7284632072208806,4692836,10804485,187265,63.30548794217593,7215231.473698277,66.7799665944122,153.74991739959114,13.836450830260667
State & local,2006-01-01,6156120,6755472,18077678,17786721,1094324,55222,428005,55258437,0.7424537813385026,5032600,11921558,290957,65.94629022599031,8176687.922491262,68.58741049191106,162.4744251975373,14.797175538083462
State & local,2007-01-01,6213629,7344632,19156248,18734409,1128633,79787,449738,57807438,0.750310339655324,5286687,12942619,421839,67.56343413386588,8950739.081112113,69.15709317497574,169.30714984851784,15.483715229019685
State & local,2008-01-01,8658036,6408886,20245041,19827106,825866,71395,407939,58851380,0.697038807377434,5336222,11587005,417935,57.23379369792336,7686830.965736315,66.34010225883492,144.05005949408243,13.061428577777301
State & local,2009-01-01,11007349,5596152,21147888,20747871,614057,47941,313490,57795730,0.6424915199484914,5063076,10140539,400017,47.95059913311438,6592110.081853664,65.00749202634755,130.19970630213064,11.405877357814607
State & local,2010-01-01,11308112,6450946,22546887,22142e3,663971,46866,357587,59968208,0.6373616763794339,5225755,11238775,404887,49.84623819687392,7506934.919398822,66.79495691833694,143.652638124038,12.518191171226631
State & local,2011-01-01,11957848,6900540,23658228,23218965,558747,48501,428189,62170327,0.6333366534887247,5465661,11700380,439263,49.45585950055093,7964865.743447548,68.07356464873405,145.72557177343322,12.811362152635208
State & local,2012-01-01,11983584,7717878,24398172,23911006,214900,42413,431017,64788029,0.6132304657509352,5658978,12414588,487166,50.883271090965344,8601139.982746447,69.28252458113347,151.99104825547028,13.275816714143977
State & local,2013-01-01,13435705,8502147,26972228,26431827,403587,32228,438013,67139400,0.6417336245177845,5962364,13536523,540401,50.18689223596952,9582631.018394167,70.79093367177204,160.71865150121943,14.272738538613938
State & local,2014-01-01,14563072,9071406,29253505,28632934,592783,32652,445685,70086987,0.666837953384704,6173891,14690433,620571,50.2176850261191,10384466.875775507,70.68863712713919,168.19971191223667,14.816540588020294
State & local,2015-01-01,15653516,9128082,30549107,29954971,750028,35330,450618,72877185,0.6676186539737056,6371046,14895591,594136,48.759497290706406,10523791.666418914,70.6503801455002,165.18153638223478,14.44044753707064
State & local,2016-01-01,16664158,9117200,31714915,31207783,845606,50314,523023,74828750,0.6598669464897932,6514127,15050757,507132,47.45640024575188,10527445.039107379,69.9462826959958,161.60945340960313,14.06871695585905
State & local,2017-01-01,16492425,10162265,32882429,32500335,981128,24939,711191,77941575,0.674181535854724,6759398,16390004,382094,49.84426180924773,11685289.22257613,71.29521885764109,172.87470308119347,14.992369890621443
State & local,2018-01-01,8309835,5303497,16891298,16702546,512123,3416,379194,40452918,0.6814691191314796,3505722,8581463,188752,50.80404714901129,6099654.010856913,71.07941863592389,173.99137783477735,15.078403023625919
